,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
91766,"24,232","62,542","29,173","819,199","22,009","725,290","6,813","3,501","14,389","57,056","3,413",--        ,"7,802"
"Under $10,000        ","4,468","7,395","2,426","21,514","3,580","20,649",483,330,"1,472",698,785,--        ,121
"$10,000 under $25,000","8,228","20,124","9,891","141,761","7,397","123,289","1,151",567,"4,066","4,328","1,108",--        ,926
"$25,000 under $50,000","6,749","19,965","10,104","239,393","6,453","220,153","1,997",757,"4,340","9,972",764,--        ,"2,755"
"$50,000 under $75,000","2,562","8,038","3,788","155,585","2,450","141,043","1,437",566,"2,311","10,307",339,--        ,"1,905"
"$75,000 under $100,000","1,136","3,529","1,508","97,824","1,094","87,663",829,443,"1,113","8,199",205,--        ,"1,039"
"$100,000 or more     ","1,089","3,491","1,456","163,122","1,035","132,493",916,838,"1,087","23,552",212,--        ,"1,056"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91767,"17,220","41,049","18,017","578,488","15,285","486,060","5,287","4,696","10,877","39,077","2,350",*         ,"6,003"
"Under $10,000        ","3,143","4,989","1,579","15,723","2,503","14,118",349,247,996,465,548,--        ,110
"$10,000 under $25,000","5,559","12,354","5,645","95,583","4,864","80,361",900,709,"3,031","3,067",754,--        ,760
"$25,000 under $50,000","4,886","13,089","6,239","175,363","4,575","157,695","1,664",908,"3,431","8,280",539,*         ,"2,166"
"$50,000 under $75,000","2,244","6,601","2,982","136,555","2,087","119,508","1,356","1,112","2,047","9,401",294,--        ,"1,711"
"$75,000 under $100,000",872,"2,581","1,059","74,193",815,"64,445",603,497,856,"6,494",109,--        ,762
"$100,000 or more     ",516,"1,435",513,"81,071",441,"49,933",415,"1,223",516,"11,370",106,*         ,494
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91768,"11,104","27,615","12,719","350,577","10,027","304,356","2,909","2,273","6,451","23,052","1,479",*         ,"3,504"
"Under $10,000        ","2,137","3,393","1,053","10,451","1,695","9,450",222,137,670,290,350,--        ,78
"$10,000 under $25,000","3,794","8,949","4,342","65,653","3,436","57,742",485,246,"1,880","1,902",479,--        ,462
"$25,000 under $50,000","3,261","9,512","4,796","115,482","3,098","105,856","1,004",482,"2,141","4,753",376,--        ,"1,410"
"$50,000 under $75,000","1,187","3,699","1,753","71,711","1,132","64,478",646,384,"1,041","4,707",139,*         ,887
"$75,000 under $100,000",391,"1,149",466,"33,462",367,"28,787",272,188,385,"3,003",68,--        ,347
"$100,000 or more     ",334,913,309,"53,818",299,"38,043",280,836,334,"8,397",67,--        ,320
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91769,895,"2,003",898,"27,651",771,"22,941",200,47,568,"2,027",143,--        ,257
"Under $10,000        ",173,272,88,724,117,728,17,5,48,26,40,--        ,*         
"$10,000 under $25,000",313,697,326,"5,497",271,"4,501",41,7,182,209,54,--        ,48
"$25,000 under $50,000",257,647,321,"9,298",239,"8,403",67,10,193,482,36,--        ,88
"$50,000 under $75,000",103,260,120,"6,269",98,"5,676",42,10,98,558,*         ,--        ,76
"$75,000 under $100,000",31,80,29,"2,653",30,"2,164",20,2,29,278,13,--        ,28
"$100,000 or more     ",18,47,14,"3,210",16,"1,469",13,13,18,474,*         ,--        ,17
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91770,"25,962","55,545","19,980","793,953","22,270","647,220","9,637","9,434","17,121","66,085","4,424",*         ,"6,168"
"Under $10,000        ","6,182","9,454","2,156","26,661","4,458","26,042","1,177",775,"2,233","1,163","1,388",*         ,171
"$10,000 under $25,000","8,783","18,994","7,189","148,098","7,595","121,711","2,319","1,525","5,258","5,801","1,529",--        ,944
"$25,000 under $50,000","6,640","15,239","5,957","236,375","6,174","210,755","2,988","2,150","5,390","14,478",864,--        ,"2,068"
"$50,000 under $75,000","2,521","6,550","2,589","153,229","2,361","132,727","1,653","1,351","2,417","13,028",349,*         ,"1,487"
"$75,000 under $100,000","1,049","2,993","1,170","90,235",977,"75,762",824,999,"1,037","9,222",151,--        ,796
"$100,000 or more     ",787,"2,315",919,"139,355",705,"80,223",676,"2,634",786,"22,393",143,--        ,702
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91773,"15,624","32,504","10,262","941,845","13,150","715,201","8,379","13,239","12,539","119,896","2,867",11,"7,825"
"Under $10,000        ","2,734","3,458",470,"5,724","1,983","12,149",738,635,969,417,424,11,134
"$10,000 under $25,000","2,938","4,696","1,177","49,924","2,245","36,075",998,"1,033","2,170","2,402",477,--        ,516
"$25,000 under $50,000","3,333","6,354","1,996","123,135","2,829","97,554","1,492","1,640","2,907","8,906",541,*         ,"1,461"
"$50,000 under $75,000","2,380","5,552","1,907","147,442","2,134","119,827","1,601","1,626","2,279","13,013",472,--        ,"1,727"
"$75,000 under $100,000","1,684","4,715","1,767","145,243","1,568","121,623","1,303","1,460","1,665","13,600",349,*         ,"1,489"
"$100,000 or more     ","2,555","7,729","2,945","470,377","2,391","327,973","2,247","6,845","2,549","81,558",604,*         ,"2,498"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91775,"10,478","22,207","7,012","613,768","8,315","450,521","6,253","11,343","8,300","77,204","2,213",*         ,"4,791"
"Under $10,000        ","1,832","2,514",393,"3,338","1,123","7,463",643,627,638,361,405,*         ,109
"$10,000 under $25,000","2,167","3,829","1,038","36,825","1,604","25,738",919,"1,416","1,552","1,789",456,*         ,378
"$25,000 under $50,000","2,267","4,535","1,447","82,426","1,884","64,508","1,250","1,680","1,958","5,926",399,--        ,848
"$50,000 under $75,000","1,432","3,331","1,150","88,622","1,224","68,392","1,025","1,498","1,385","8,218",286,*         ,917
"$75,000 under $100,000",971,"2,632",970,"83,791",861,"65,822",796,"1,223",962,"8,421",207,--        ,820
"$100,000 or more     ","1,809","5,366","2,014","318,766","1,619","218,598","1,620","4,899","1,805","52,489",460,*         ,"1,719"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91776,"15,915","32,892","11,074","518,660","13,378","417,649","6,344","6,728","11,039","48,232","3,001",*         ,"3,778"
"Under $10,000        ","3,846","5,541","1,032","13,313","2,582","15,842",882,655,"1,527",811,"1,010",--        ,116
"$10,000 under $25,000","4,922","10,133","3,556","82,910","4,187","66,981","1,389","1,167","3,106","3,367",927,*         ,543
"$25,000 under $50,000","4,122","9,080","3,320","146,484","3,829","130,450","1,860","1,367","3,443","9,502",555,*         ,"1,143"
"$50,000 under $75,000","1,697","4,289","1,656","102,669","1,600","89,644","1,105","1,038","1,639","9,310",255,--        ,906
"$75,000 under $100,000",692,"1,995",791,"59,510",638,"50,236",547,672,689,"6,162",118,--        ,507
"$100,000 or more     ",636,"1,854",719,"113,774",542,"64,496",561,"1,829",635,"19,080",136,--        ,563
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91778,588,"1,002",263,"20,520",455,"15,081",242,240,449,"2,258",133,--        ,135
"Under $10,000        ",158,198,25,695,86,566,39,5,81,43,56,--        ,*         
"$10,000 under $25,000",186,311,89,"3,157",155,"2,479",67,75,141,163,38,--        ,21
"$25,000 under $50,000",123,232,68,"4,325",108,"3,670",54,30,106,324,18,--        ,32
"$50,000 under $75,000",62,124,42,"3,720",58,"3,207",35,23,62,398,10,--        ,33
"$75,000 under $100,000",25,59,18,"2,131",21,"1,560",16,8,25,255,*         ,--        ,19
"$100,000 or more     ",34,78,21,"6,492",27,"3,599",31,99,34,"1,075",11,--        ,30
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91780,"15,459","32,696","10,751","684,460","12,691","537,478","8,193","10,827","11,889","71,269","3,094",--        ,"5,903"
"Under $10,000        ","2,969","4,125",686,"4,555","1,921","12,336",954,990,"1,112",615,667,--        ,141
"$10,000 under $25,000","3,620","6,616","1,969","61,734","2,793","45,235","1,367","1,669","2,548","2,905",707,--        ,552
"$25,000 under $50,000","3,959","8,289","2,857","144,045","3,482","119,197","2,019","2,229","3,401","9,814",662,--        ,"1,432"
"$50,000 under $75,000","2,161","5,450","2,021","133,331","1,949","109,276","1,511","1,747","2,096","11,814",444,--        ,"1,372"
"$75,000 under $100,000","1,322","3,828","1,488","114,100","1,211","93,929","1,073","1,415","1,306","11,124",286,--        ,"1,079"
"$100,000 or more     ","1,428","4,388","1,730","226,695","1,335","157,505","1,269","2,777","1,426","34,997",328,--        ,"1,327"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91784,"11,572","25,320","7,767","976,409","9,134","644,698","7,498","21,657","9,687","148,687","2,431",34,"6,925"
"Under $10,000        ","1,980","2,438",256,"-8,010","1,380","9,135",622,"1,120",781,405,258,12,123
"$10,000 under $25,000","1,776","2,640",488,"29,881","1,277","20,160",747,"1,205","1,383","1,511",286,--        ,383
"$25,000 under $50,000","1,738","3,325",943,"64,125","1,272","42,667",999,"1,592","1,535","4,779",375,*         ,914
"$50,000 under $75,000","1,484","3,436","1,125","92,313","1,182","64,677","1,096","1,743","1,421","8,169",348,*         ,"1,136"
"$75,000 under $100,000","1,390","3,797","1,348","121,223","1,181","89,320","1,134","2,204","1,367","11,376",353,*         ,"1,251"
"$100,000 or more     ","3,204","9,684","3,607","676,877","2,842","418,739","2,900","13,793","3,200","122,447",811,22,"3,118"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91785,673,"1,170",325,"106,459",516,"21,118",292,"21,299",499,"15,040",140,--        ,276
"Under $10,000        ",151,178,18,594,91,493,40,34,46,60,37,--        ,11
"$10,000 under $25,000",149,247,76,"2,492",114,"1,741",46,21,104,157,30,--        ,33
"$25,000 under $50,000",163,304,112,"5,971",139,"4,861",60,86,144,474,26,--        ,57
"$50,000 under $75,000",92,172,47,"5,763",83,"4,476",50,47,90,593,18,--        ,65
"$75,000 under $100,000",51,122,39,"4,385",43,"3,225",36,30,48,470,12,--        ,46
"$100,000 or more     ",67,147,33,"87,254",46,"6,322",60,"21,081",67,"13,286",17,--        ,64
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91786,"20,486","42,956","15,417","854,258","17,549","676,612","7,531","9,329","14,897","85,393","3,164",*         ,"7,085"
"Under $10,000        ","3,625","5,185","1,236","13,697","2,694","15,564",689,574,"1,247",612,652,*         ,165
"$10,000 under $25,000","5,595","10,646","4,053","96,214","4,700","77,473","1,185","1,226","3,542","3,856",771,*         ,672
"$25,000 under $50,000","5,646","12,364","4,875","203,006","5,095","174,825","1,787","1,416","4,636","12,487",712,*         ,"1,849"
"$50,000 under $75,000","2,786","6,806","2,454","171,203","2,497","140,087","1,612","1,517","2,655","14,512",477,--        ,"1,862"
"$75,000 under $100,000","1,357","3,796","1,384","117,201","1,248","97,154",978,974,"1,344","11,168",242,--        ,"1,148"
"$100,000 or more     ","1,477","4,159","1,415","252,937","1,315","171,509","1,280","3,622","1,473","42,758",310,*         ,"1,389"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91788,402,780,261,"20,892",321,"15,649",203,172,311,"2,045",80,--        ,175
"Under $10,000        ",78,110,21,171,39,276,20,3,29,18,24,--        ,*         
"$10,000 under $25,000",83,131,35,"1,437",64,"1,061",32,44,59,64,22,--        ,24
"$25,000 under $50,000",106,219,85,"3,897",92,"3,152",53,28,91,284,19,--        ,42
"$50,000 under $75,000",63,122,47,"3,782",58,"3,279",39,17,61,367,15,--        ,43
"$75,000 under $100,000",22,67,30,"1,897",21,"1,609",17,24,22,184,*         ,--        ,18
"$100,000 or more     ",50,131,43,"9,708",47,"6,272",42,56,49,"1,128",*         ,--        ,48
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91789,"18,963","43,618","15,488","1,327,825","15,941","895,761","11,048","64,925","14,829","208,021","3,845",*         ,"9,717"
"Under $10,000        ","3,801","5,153",801,"2,950","2,585","18,970","1,236","1,029","1,360",661,644,--        ,204
"$10,000 under $25,000","3,435","6,037","1,694","58,441","2,709","45,459","1,308","1,452","2,462","2,963",686,--        ,667
"$25,000 under $50,000","3,791","8,011","2,717","138,575","3,280","113,468","2,027","2,004","3,237","9,642",748,--        ,"1,769"
"$50,000 under $75,000","2,545","6,817","2,704","157,882","2,307","127,810","1,817","2,161","2,408","12,540",564,--        ,"1,964"
"$75,000 under $100,000","1,898","5,881","2,467","164,859","1,770","137,990","1,545","1,783","1,875","14,760",420,--        ,"1,705"
"$100,000 or more     ","3,493","11,719","5,105","805,118","3,290","452,064","3,115","56,496","3,487","167,455",783,*         ,"3,408"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91790,"17,812","40,405","15,654","731,498","15,428","621,866","7,330","6,408","13,070","59,720","2,291",*         ,"7,244"
"Under $10,000        ","3,008","4,161",846,"8,115","2,220","13,941",562,472,"1,039",481,155,--        ,137
"$10,000 under $25,000","4,451","8,448","3,031","76,318","3,657","60,204","1,046",894,"2,873","3,023",629,--        ,641
"$25,000 under $50,000","4,803","11,062","4,637","174,743","4,364","151,107","1,837","1,519","3,819","10,057",632,*         ,"1,912"
"$50,000 under $75,000","2,757","7,694","3,247","169,781","2,560","145,929","1,726","1,177","2,570","12,434",408,--        ,"1,998"
"$75,000 under $100,000","1,627","5,235","2,284","140,121","1,538","123,867","1,196",806,"1,606","11,904",279,*         ,"1,438"
"$100,000 or more     ","1,166","3,805","1,609","162,420","1,089","126,818",963,"1,540","1,163","21,821",188,--        ,"1,118"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91791,"13,828","30,404","10,944","792,243","11,357","557,917","6,726","13,789","10,543","98,467","2,385",10,"6,394"
"Under $10,000        ","2,401","3,287",588,"5,180","1,597","9,218",645,690,830,435,449,10,152
"$10,000 under $25,000","3,103","5,517","1,761","52,977","2,467","39,759",911,"1,022","2,107","2,276",494,*         ,506
"$25,000 under $50,000","3,214","6,902","2,656","117,789","2,787","96,548","1,322","1,533","2,646","7,362",433,--        ,"1,364"
"$50,000 under $75,000","1,952","4,994","1,997","120,372","1,700","96,192","1,222","1,505","1,838","9,690",319,*         ,"1,432"
"$75,000 under $100,000","1,259","3,797","1,572","108,749","1,141","88,572",966,"1,220","1,227","9,464",241,--        ,"1,126"
"$100,000 or more     ","1,899","5,907","2,370","387,176","1,665","227,628","1,660","7,819","1,895","69,240",449,*         ,"1,814"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91792,"12,986","28,396","10,717","528,272","11,759","463,292","4,988","2,867","9,594","43,665","1,906",--        ,"5,234"
"Under $10,000        ","2,215","3,063",613,"8,840","1,710","9,583",346,153,758,343,403,--        ,93
"$10,000 under $25,000","3,239","5,997","2,136","55,948","2,839","47,334",668,483,"2,093","2,223",495,--        ,456
"$25,000 under $50,000","3,630","7,907","3,146","131,652","3,436","120,250","1,313",534,"2,964","7,584",417,--        ,"1,487"
"$50,000 under $75,000","1,957","5,301","2,205","120,036","1,882","108,815","1,184",552,"1,848","8,824",262,--        ,"1,422"
"$75,000 under $100,000","1,112","3,416","1,450","95,610","1,080","86,200",802,383,"1,098","8,436",167,--        ,984
"$100,000 or more     ",833,"2,712","1,167","116,186",812,"91,110",675,762,833,"16,255",162,--        ,792
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91793,514,"1,060",419,"20,163",430,"15,842",179,200,377,"1,972",90,--        ,188
"Under $10,000        ",90,127,31,395,58,340,14,15,33,14,26,--        ,*         
"$10,000 under $25,000",119,234,94,"1,961",95,"1,527",27,17,69,67,19,--        ,24
"$25,000 under $50,000",183,386,166,"6,608",165,"5,874",63,19,156,428,32,--        ,72
"$50,000 under $75,000",69,157,67,"4,207",66,"3,729",33,14,66,348,13,--        ,47
"$75,000 under $100,000",25,68,24,"2,104",25,"1,707",19,12,25,207,--        ,--        ,19
"$100,000 or more     ",28,88,37,"4,888",21,"2,665",23,123,28,908,*         ,--        ,26
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91801,"23,553","46,161","14,464","876,719","19,750","713,294","10,290","12,897","17,364","88,217","4,182",*         ,"6,511"
"Under $10,000        ","4,965","7,063","1,261","17,434","3,289","21,259","1,258","1,074","1,866","1,002","1,185",--        ,202
"$10,000 under $25,000","6,466","12,303","3,985","109,825","5,418","88,802","1,992","1,947","4,289","4,648","1,160",--        ,766
"$25,000 under $50,000","6,462","13,102","4,483","232,748","5,898","205,011","2,951","2,753","5,625","16,227",874,--        ,"1,767"
"$50,000 under $75,000","2,972","6,681","2,298","181,037","2,714","155,694","1,922","2,197","2,905","17,561",455,*         ,"1,583"
"$75,000 under $100,000","1,390","3,493","1,204","119,350","1,281","100,609","1,043","1,581","1,384","13,394",238,--        ,"1,020"
"$100,000 or more     ","1,298","3,519","1,233","216,325","1,150","141,919","1,124","3,345","1,295","35,385",270,--        ,"1,173"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91802,945,"1,653",483,"32,799",766,"26,753",403,795,730,"3,573",232,--        ,257
"Under $10,000        ",231,320,55,579,136,823,52,94,96,68,92,--        ,*         
"$10,000 under $25,000",253,427,123,"4,366",210,"3,469",86,73,193,218,56,--        ,34
"$25,000 under $50,000",258,475,166,"9,219",245,"8,616",117,91,240,657,51,--        ,77
"$50,000 under $75,000",101,195,61,"6,152",94,"5,558",65,34,100,645,12,--        ,59
"$75,000 under $100,000",52,126,46,"4,434",41,"3,225",36,60,51,461,11,--        ,43
"$100,000 or more     ",50,110,32,"8,049",40,"5,062",47,443,50,"1,524",10,--        ,44
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91803,"13,540","27,534","9,075","497,666","11,402","408,442","5,982","7,239","9,746","46,681","2,243",--        ,"3,964"
"Under $10,000        ","2,918","4,188",791,"10,733","1,985","12,458",724,652,"1,084",575,647,--        ,107
"$10,000 under $25,000","3,778","7,402","2,464","64,246","3,168","51,152","1,157","1,144","2,435","2,587",640,--        ,429
"$25,000 under $50,000","3,552","7,476","2,693","127,800","3,256","112,657","1,612","1,518","3,001","8,315",438,--        ,"1,077"
"$50,000 under $75,000","1,693","4,036","1,497","103,919","1,537","88,723","1,147","1,393","1,638","9,425",241,--        ,995
"$75,000 under $100,000",790,"2,188",838,"67,597",734,"57,204",635,746,780,"6,825",136,--        ,613
"$100,000 or more     ",809,"2,244",792,"123,371",722,"86,248",707,"1,786",808,"18,954",141,--        ,743
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91901,"6,296","13,764","4,283","463,067","5,166","307,875","3,605","5,285","5,196","62,063","1,252",36,"3,313"
"Under $10,000        ","1,004","1,287",178,"2,897",717,"4,113",289,251,355,166,143,14,64
"$10,000 under $25,000","1,088","1,712",405,"18,710",835,"13,787",328,456,840,992,165,*         ,186
"$25,000 under $50,000","1,206","2,391",716,"44,260",986,"32,986",570,805,"1,065","3,071",207,*         ,476
"$50,000 under $75,000",884,"2,180",736,"54,740",750,"41,244",602,892,839,"4,529",203,11,625
"$75,000 under $100,000",736,"2,050",707,"63,783",648,"49,231",595,638,723,"5,607",196,*         ,651
"$100,000 or more     ","1,378","4,144","1,541","278,677","1,230","166,514","1,221","2,243","1,374","47,698",338,11,"1,311"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91902,"8,090","17,173","5,372","606,467","6,261","343,169","4,662","11,173","6,539","95,850","1,591",17,"4,008"
"Under $10,000        ","1,378","1,768",259,-868,955,"5,672",400,342,477,240,207,*         ,77
"$10,000 under $25,000","1,464","2,343",599,"25,321","1,100","18,702",467,518,"1,085","1,249",202,--        ,255
"$25,000 under $50,000","1,679","3,320","1,061","61,452","1,305","43,229",811,"1,384","1,478","4,660",312,*         ,651
"$50,000 under $75,000","1,072","2,563",878,"66,438",822,"43,950",772,"1,179","1,023","5,871",218,17,742
"$75,000 under $100,000",889,"2,377",812,"77,293",699,"49,139",733,"1,216",874,"7,675",209,*         ,743
"$100,000 or more     ","1,608","4,802","1,763","376,831","1,380","182,477","1,479","6,534","1,602","76,155",443,*         ,"1,540"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91903,"1,070","2,076",539,"75,460",757,"37,441",624,"1,460",908,"11,603",241,*         ,470
"Under $10,000        ",157,220,38,-795,77,580,68,73,74,72,62,--        ,15
"$10,000 under $25,000",214,311,52,"3,714",140,"2,329",97,189,163,181,33,--        ,44
"$25,000 under $50,000",243,435,116,"8,784",197,"6,471",112,250,218,681,46,*         ,81
"$50,000 under $75,000",151,324,78,"9,384",121,"6,502",104,143,149,878,38,--        ,94
"$75,000 under $100,000",94,230,61,"8,167",82,"5,841",74,57,94,850,20,*         ,76
"$100,000 or more     ",211,556,194,"46,206",140,"15,718",169,748,210,"8,941",42,--        ,160
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91905,604,"1,248",384,"23,806",475,"17,430",231,197,467,"2,122",113,*         ,228
"Under $10,000        ",103,158,35,223,65,355,17,4,34,18,21,*         ,*         
"$10,000 under $25,000",153,264,73,"2,600",103,"1,534",38,38,110,126,28,*         ,30
"$25,000 under $50,000",175,365,116,"6,409",152,"4,835",68,51,154,468,36,*         ,71
"$50,000 under $75,000",92,225,74,"5,676",83,"4,700",48,34,88,468,13,*         ,60
"$75,000 under $100,000",51,155,61,"4,304",48,"3,436",37,13,51,410,15,--        ,42
"$100,000 or more     ",30,81,25,"4,594",24,"2,570",23,57,30,632,*         ,--        ,25
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91906,"1,124","2,450",833,"47,696",921,"37,799",457,369,859,"4,223",150,16,422
"Under $10,000        ",157,244,64,469,109,594,34,11,51,28,26,--        ,*         
"$10,000 under $25,000",287,514,164,"4,788",204,"3,382",65,71,193,191,37,*         ,41
"$25,000 under $50,000",306,665,244,"10,891",265,"8,830",117,99,254,668,35,*         ,100
"$50,000 under $75,000",209,580,218,"12,923",194,"10,731",121,51,197,998,30,16,132
"$75,000 under $100,000",100,267,87,"8,484",92,"7,441",64,16,99,790,10,*         ,87
"$100,000 or more     ",65,180,56,"10,141",57,"6,821",56,121,65,"1,548",12,--        ,62
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91908,432,839,250,"25,785",299,"15,235",238,371,353,"3,271",96,--        ,199
"Under $10,000        ",68,87,13,-164,31,225,25,17,22,19,25,--        ,*         
"$10,000 under $25,000",81,131,38,"1,436",47,799,30,60,64,82,16,--        ,20
"$25,000 under $50,000",110,194,56,"4,108",82,"2,924",55,90,97,316,25,--        ,46
"$50,000 under $75,000",70,160,57,"4,365",57,"3,223",45,66,68,403,13,--        ,48
"$75,000 under $100,000",38,100,38,"3,336",30,"1,954",28,59,37,338,*         ,--        ,25
"$100,000 or more     ",65,167,48,"12,704",52,"6,110",55,79,65,"2,113",17,--        ,60
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91909,448,957,344,"16,366",351,"10,964",130,100,325,"1,574",77,--        ,103
"Under $10,000        ",81,118,22,310,42,271,16,27,25,15,20,--        ,--        
"$10,000 under $25,000",135,277,105,"2,304",104,"1,739",28,7,87,88,28,--        ,14
"$25,000 under $50,000",136,336,140,"4,852",121,"4,094",34,35,117,304,19,--        ,29
"$50,000 under $75,000",54,128,42,"3,269",49,"2,564",26,12,54,308,10,--        ,27
"$75,000 under $100,000",22,55,21,"1,889",19,"1,370",16,8,22,206,*         ,--        ,18
"$100,000 or more     ",20,43,14,"3,742",16,926,10,11,20,653,--        ,--        ,15
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91910,"31,930","70,124","25,697","1,356,636","26,907","1,047,821","12,821","19,001","23,570","127,979","4,197",14,"10,224"
"Under $10,000        ","5,212","7,523","1,751","14,791","3,840","22,710","1,014",773,"1,727",804,827,--        ,167
"$10,000 under $25,000","8,763","16,897","6,226","153,239","7,273","122,881","1,912","2,131","5,788","6,103",983,14,829
"$25,000 under $50,000","8,877","20,251","7,992","318,182","7,787","266,549","3,202","3,611","7,267","19,375",970,--        ,"2,401"
"$50,000 under $75,000","4,258","11,101","4,244","260,465","3,723","207,515","2,640","2,976","4,020","20,999",597,*         ,"2,568"
"$75,000 under $100,000","2,301","6,751","2,598","198,870","2,082","160,057","1,832","1,819","2,258","17,929",361,*         ,"1,902"
"$100,000 or more     ","2,519","7,601","2,886","411,089","2,202","268,109","2,221","7,691","2,510","62,769",459,--        ,"2,357"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91911,"33,281","78,143","31,566","1,146,807","28,785","951,870","10,695","8,564","22,834","81,003","3,980",*         ,"8,726"
"Under $10,000        ","5,853","8,833","2,296","26,681","4,413","24,599",860,510,"1,901",840,894,*         ,172
"$10,000 under $25,000","10,272","21,126","8,392","177,732","8,738","144,733","1,888","1,447","6,356","6,326","1,131",*         ,893
"$25,000 under $50,000","9,841","25,546","11,272","350,869","8,903","302,276","3,113","2,218","7,604","18,427",984,--        ,"2,566"
"$50,000 under $75,000","4,207","12,800","5,582","256,530","3,844","216,151","2,373","1,610","3,902","17,991",526,--        ,"2,443"
"$75,000 under $100,000","1,839","5,807","2,398","157,956","1,708","132,953","1,380","1,180","1,809","13,427",254,--        ,"1,493"
"$100,000 or more     ","1,269","4,031","1,626","177,039","1,179","131,158","1,081","1,599","1,262","23,992",191,*         ,"1,159"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91912,"1,842","3,932","1,444","64,651","1,419","47,563",607,709,"1,328","5,850",265,*         ,419
"Under $10,000        ",369,547,122,"1,476",207,"1,397",98,86,113,60,73,*         ,19
"$10,000 under $25,000",509,"1,032",368,"8,888",368,"6,254",128,145,338,363,73,--        ,52
"$25,000 under $50,000",592,"1,377",576,"21,024",530,"18,012",167,123,517,"1,329",57,--        ,115
"$50,000 under $75,000",228,590,235,"13,940",195,"10,813",114,180,220,"1,252",43,--        ,118
"$75,000 under $100,000",69,185,69,"5,913",60,"4,554",43,28,68,642,*         ,--        ,48
"$100,000 or more     ",75,201,74,"13,410",59,"6,533",57,147,72,"2,204",19,--        ,67
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91913,"13,542","33,903","13,412","768,913","12,246","656,362","6,993","4,728","10,572","69,312","2,089",*         ,"7,116"
"Under $10,000        ","1,802","2,439",475,"6,480","1,454","8,762",343,177,651,265,233,*         ,84
"$10,000 under $25,000","2,394","4,474","1,511","42,122","2,022","34,958",516,422,"1,622","1,821",348,--        ,320
"$25,000 under $50,000","3,151","7,280","2,814","115,109","2,844","99,776","1,278",679,"2,471","6,551",438,--        ,"1,318"
"$50,000 under $75,000","2,321","6,701","2,860","145,059","2,180","128,481","1,576",951,"2,037","9,267",372,--        ,"1,748"
"$75,000 under $100,000","1,789","5,827","2,557","154,906","1,736","139,250","1,451",693,"1,718","11,268",304,--        ,"1,622"
"$100,000 or more     ","2,085","7,182","3,195","305,237","2,010","245,135","1,829","1,806","2,073","40,140",394,*         ,"2,024"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91914,"4,341","11,599","4,690","320,052","3,925","272,122","2,778","1,897","3,555","32,671",814,--        ,"2,890"
